lable	label	text
0	陈述	@KevCoyUK @wolfblitzer @NFL @JoeBiden No vaccine yet
2	请求	@BorisJohnson Don't allow chipping id or vaccine id any. Not allowed follow Greece.
1	欣喜	A lot of good news today! https://t.co/4vxcP3KSg8
2	邀请/建议	Tell the HSE how to do it.... https://t.co/awsqCk1GkQ
1	难过	@andrewknightmd @ProfKatieEwer so all the vax data does NOT cover the most prevalent group to be hospitalised
0	陈述	I GOT SIGNED UP FOR A VACCINE CLINIC WHICH MEANS I MAY GET MY SHOT IN TWO WEEKS.
1	反讽	As the UK gloats about its vaccine roll out, EU countries happily unlock and send their kids to school. https://t.co/AwiJtJCYOf
0	陈述	@MSNBC My elderly friends and relatives have received vaccinations in retirement communities, parks, Shopping plaza… https://t.co/RvbpDkeUft
0	赞扬	Y’all.  There are good people on earth.  1 at least. https://t.co/ocDLD4ubki
0	引述	"It's like a ticket to survival"\n\nGrace is one of many people taking part in the Novavax vaccine trials in Bournemo… https://t.co/zNmbg0rUk1
0	断定	@Malcolm98771374 @Nick_Pye For a start, it’s not a vaccine.
1	反讽	@savvaskarma Thousands of #COVIDIOTS 😷...
0	陈述	Tonight's @TowerHamletsNow Champions webinar will cover big topics; vaccines, testing, mental health &amp; shielding, h… https://t.co/ACiKcu32vH
0	推测	With the vaccine that contains several stain of the virus will stop re-infection.\n\n#vaccinesavestheworld #vaccine… https://t.co/wM6Nv0JaTJ
0	引述	EU vaccine woes shift from supply squeeze to rollout  https://t.co/LBME07VihH via @financialtimes
2	请求	Paul Fletcher, Communications Minister, fix this #Facebook problem NOW!\n\nThey’ve blocked #news sites, but also govt… https://t.co/SFq6sRLoVg
0	陈述	@cottle_delia @ChestneyS I'm not having the vaccine, they can't force you. They are saying that you may be able to… https://t.co/F3hKGb9FgP
0	引述	GermanPressAgency reporting: Many ppl scheduled to receive $AZN vaccine don't show up to their appointments presuma… https://t.co/NS4guDy2xJ
1	反讽	More Americans have access to the vaccine than they do a PS5 #society #woke
0	陈述	Looks like #Novavax @Novavax has secured the Canadian need for vaccines. @AstraZeneca the loss ponders my wonder, a… https://t.co/brk0IzwSb2
1	反讽	@claymus The coordination among all the vaccine makers, that must have been intense 🙄
1	欣喜	@BorisJohnson Its great that we are leading the world in the export of our very own variant of C-19. Thank God for… https://t.co/CF8Q2KexUP
2	邀请/建议	Following the script as usual. https://t.co/IoPOEKD736
0	引述	Community Partners Launching COVID-19 Vaccine Sites for Underserved Populations https://t.co/Wk9JaUDKhe… https://t.co/e4hTipR3OI
0	陈述	Temperature at "Vaccine Fridge 2" is too low at 0.5C(Current temperature is 0.5C at "Vaccine Fridge 2")-242
0	引述	Starting Saturday, the vaccination pool will open for about a half-million more people. https://t.co/uiFBe7ltBx
0	陈述	The ratio is not there yet but we are moving: looking forward to  Vaccination numbers moving up and the Infection n… https://t.co/m7AAHqC6WF
0	引述	Walsh, Martinez Discuss COVID, Vaccination Update https://t.co/UEPTU7MPal
0	析因	This white dude wanted to be Elon Musk so they gave him the job of organizing vaccines for a whole city and of cour… https://t.co/JN7428WXUu
0	引述	Fauci is NAIAD\n\nhe oversees free money to insider groups in the form of "grants"\n\nThe corruption is so deep you can… https://t.co/nJjaBZtBZM
2	请求	@BorisJohnson @Billy_Mcr Could you vaccinate my #Cladding, that’ll protect me.
4	other	Political stunts #DE #JensSpahn (#CDU #Laschet’s current partner in crime) have done him no favours - but #Greens l… https://t.co/TzonHw4V9r
0	陈述	India reports 9,309 new #COVID19 cases, 15,858 discharges, and 87 deaths in the last 24 hours, as per Union Health… https://t.co/iXcASG8SAi
0	质询	@GeorgeBludger Why do they need to protest? \nCan't they just not get the vaccination? \nIdiots 🤣
4	other	@Scrats_Nuts @Catheri81720652 @dwilliam9940 My main view on it is i don't see how or why I need it. I also don't kn… https://t.co/MLaDpUcN8n
0	推测	It would be a success if the people were fully vaccinated with the recommended doses and not the spin from useless… https://t.co/TVCxkNYg7I
0	断定	This dude is the worst. https://t.co/Sl3rcbNue2
1	攻击	DUH! He's a freaking criminal just like his "all mighty" the orange clown! Lock them both up!!!!!!!!!!!!!!!!!!!!!!! https://t.co/Drv16rW2If
0	引述	https://t.co/B1OVpEMyje Impressive performance of India s pharmaceutical industry coupled with our diplomatic outre… https://t.co/SRvwzfZRYW
0	陈述	@rmc031 @rklein90 This entire year has been one big teacher strike.  I don't know anyone who supports teachers gett… https://t.co/FsnU3zlqxi
0	引述	2 Florida Women Dress Up As “Grannies” To Get COVID-19 Vaccine. – X102.3 https://t.co/xf2pOjqpVH
0	断定	RACISM IS NOT AN OPINION \nAPOLOGIZE TO BTS\n#Bayern3Apologize #Bayern3Racist https://t.co/uNIW9XMPLR
4	other	Thanks but NO Thanks https://t.co/sEamaQgFNG
0	质询	@EllaPee2003 @washingtonpost Why would I take a vaccine that has shown time and time again to not be as effective w… https://t.co/DVXb910zqD
0	引述	Study: Russia’s Sputnik V vaccine appears safe, effective | Federal News Network https://t.co/Wkc5s34vI1
0	引述	@DanM1970s @fatfums @PhilThfc1 Bloody hope so. I see SA have cancelled using the Oxford vaccine as a result https://t.co/e77tMPDgFx
0	断定	@LeeThom27071737 @toryboypierce While the vaccination programme has been successful, no I haven’t noticed they have… https://t.co/mNJSGwyIEl
0	陈述	“So there are things, even if you’re vaccinated, that you’re not going to be able to do in society. Example: indoor… https://t.co/slEznATMRP
0	引述	Robert F. Kennedy Jr. is barred from Instagram over false coronavirus claims. - The New York Times #Mtnews  https://t.co/MKJHwvRRso
0	赞扬	@CarlyRM Good advice! There is also a Facebook group “Maryland Vaccine Hunters” - neighbors helping neighbors.
0	引述	ICYMI: Jefferson Parish President Cynthia Lee Sheng discussed the details of our first major COVID-19 vaccine drive… https://t.co/2jHI2RBWGP
0	质询	@RDave65 @darrengrimes_ Really? Well how come England has offered the vaccine to every care home resident by now an… https://t.co/aZVbxhEb4X
0	断定	Refugees and undocumented migrants are some of the most marginalized communities. \n\nNow in some countries, they are… https://t.co/MPb4j0A6Ar
3	承诺	The first category will see frontline workers and personnel providing/supporting health services receiving the firs… https://t.co/3XutzIi2HQ
0	陈述	The guest is a medical practitioner btw it won’t b me answering the questions 😅 https://t.co/NFjOIuUg62
1	反讽	I think he needs to look in the mirror. 🙃 https://t.co/frEC4ZlSnY https://t.co/xGIowHuJ9f
1	希望	@narendramodi @JustinTrudeau I hope India supplies corona vaccine to Canada soon !🇮🇳~🇨🇦
0	陈述	The Shelby County Commission session is about to get underway. Wright's resolution calling for National Guard and s… https://t.co/yFX29rBwii
2	咨询	@WouldYouKindly0 @fperrywilson A safe vaccine is ideal, but...\n\nWhat lethal side effects of hcq?\n\n7 fatal cardiac e… https://t.co/hH7royLwNR
0	引述	Beltway Insider: Biden’s Budget, Trump CPAC, COVID, Vaccine, Cuomo, Saudi, Yemen, MARS, Tiger Woods https://t.co/FX1zJawgMi
1	攻击	Can you determine which vaccine you want &amp; wait until its available or do they call you an ungrateful little shit &amp;… https://t.co/oSsYlb4aoK
0	批评	So selfish.......Stealing from the elderly. 😠 https://t.co/1EeiiX1TWL
0	引述	Nigeria expects 41 million COVID-19 vaccine doses from AU https://t.co/t7HrN63Nso
1	抱怨	having me sit down for 15 min after the vaccine little do they know I’m staying an extra 30 since I’m still on the clock
1	反讽	Also teachers have an invincibility shield around then which is impenetrable by COVID. 😜 https://t.co/0akSojNyaS
0	质询	y’all really voted for this man? https://t.co/Q8anjs0OS0
0	质询	@StopTheCriminal 2. May not be a yes, yet...depending on the age group, the alternative question is "do you plan to… https://t.co/hHgSr9C1dU
0	引述	RTE: " J&amp;J jab 'highly effective' against severe Covid. The single-shot Johnson &amp; Johnson vaccine is highly effecti… https://t.co/93Vf3D2cVL
1	反讽	@Ckpainters69 Joke. We are shut down for nursing home deaths again no doubt. Nursing homes that are closed to the p… https://t.co/sDrvYM17iC
0	质询	@TOPublicHealth Explain to me why transplant recipients, donors and cancer patients and survivors still have no acc… https://t.co/nkB1oVnGp2
0	质询	@SkyNews Why isn’t there any information about how they think the vaccine will affect our bodies long term ? I’ve a… https://t.co/fPvdYsgykP
0	陈述	Gov. Murphy said the Johnson &amp; Johnson vaccine will allow officials to "be more nimble" in distribution because it… https://t.co/l1FLJCaXGA
0	批评	We only checked the bill of lading. But didn’t bother to check the expiry date of the vaccine. 😢 https://t.co/mVbBrpCPac
1	反讽	@Geopolitics_Emp Soon we will be told by “scientists” that we need to have vaccination every time we want to leave our home.
0	引述	China pressurised Nepal to accept its Covid vaccine: Leaked documents | In Hindi. https://t.co/q8LF1l7jqJ
0	引述	@NatSecGeek mRNA vaccines are easy to make 🤣🤣🤣\n\nhttps://t.co/FTXlkc2uDE
0	同意	@aparanjape @sudhirmehtapune @MCCIA_Pune @CMOMaharashtra @PMOIndia Yes , With Covid cases growing and vaccine in pl… https://t.co/i05qfNXsBK
0	引述	COVID-19: UK PM Johnson meets Nigerian pastor, others over vaccination https://t.co/t8ueYYsaVC
0	断定	AstraZeneca has nothing on SputnikV. https://t.co/BCeFTWEAHK
0	陈述	@KeithSm45248280 @LMG49046352 @Ash_Stewart_ NZ receives their first batch of vaccines THIS week. So I think they ki… https://t.co/NNCxp1Wh1D
0	断定	#BigGovernment prefers a monopoly on #Misinformation which has become any information that challenges the authoriti… https://t.co/ySEetQ39ut
2	咨询	@HelenBranswell Meanwhile (1) question of whether vaccines reduce transmission and whether that would support prior… https://t.co/kVaOmrTZ00
0	引述	Read the latest FREE article from @ThePLSReporter about improper distribution of the #modernavaccine in PA leading… https://t.co/bpTCfIk3uJ
2	邀请/建议	@ausgov @covidliveau If anyone is looking for the direct link to the Vaccine Eligibility Checker: https://t.co/4Ch4jMglNh
0	断定	@FemboySecurity @FembroEnviro @MrReed_FR He survived the gay plandemic
1	幽默	Me and my friends as soon as we get the vaccine. https://t.co/nlOd8uTQlw
2	邀请/建议	1. Take the vaccine.\n2. Don’t do crack. https://t.co/i5vNRxiGlO
3	承诺	Going to the Helix tomorrow with someone who is getting the vaccine. I’m delighted, there is light
0	陈述	EU vax timeline keeps changing.\nIts aim is to vaccinate 70% of adults in the EU "by the end of summer".\n\nOn Jan 19… https://t.co/eTynug5Jox
1	感谢	@jimcramer Happy Belated Birthday Mr. Cramerica. Thank you for your teaching. You opened my mind into a new world a… https://t.co/vgkTQUUuKd
2	咨询	@Kevin_Faulconer, can we talk Hep-A and how you couldn’t deal with a known pathogen with a developed vaccine, but c… https://t.co/cqNibxVZFi
0	赞扬	@alandmcclure @NeilMackay There is also good Science\ncritical of Vaccines, rushed Vaccines and "vaccines" containin… https://t.co/VdzG4t6qyx
0	陈述	UPDATE: The COVID-19 Mass Vaccination Site at the Oregon Convention Center will reopen for appointments at 9 a.m. o… https://t.co/In4HHAv6RA
0	陈述	@CityCynthia My grandmother will be turning 114 in two weeks ( not a typo) and lives in her house by herself.   The… https://t.co/dVMQBF8Akd
0	陈述	Bloomberg reports “More Americans have received at least one dose of a Covid-19 vaccine than have tested positive f… https://t.co/aU51pAOQog
2	咨询	@robferguson1 @GeneralHillier Can you ask what we are paying him for? With PHU responsible for the vaccine rollout his role is unclear
2	请求	Please sign folks if you agree👇 https://t.co/ms1haUtECW
0	批评	@kayleighmcenany You have zero credibility!! THIS @POTUS tells the truth. The vaccine existed, yes - did we have th… https://t.co/FFG4zHhOGd
0	析因	@HSELive @mmcgrathtd "In that sense, it does sound like a vaccine?\n\nNo, not at all because a vaccine is supposed to… https://t.co/6moNM7Quld
0	断定	@iamrussianagent @gallifreyan100 @nashpleaseftme @DavidkHarman @Yogurt24 @nytimes Everyone who wants a vaccine will… https://t.co/jhpNocT6sW
4	other	@DrTsion @nyphospital @uche_blackstock @MarkLevineNYC @darakass @bernardchangMD @ava @studiomuseum @Craig_A_Spencer… https://t.co/Um2Q6QL1ww
0	引述	"So, with a 50 percent effective vaccine, we have a 50 percent chance of contracting COVID-19, and with a 95 percen… https://t.co/19XvIJaHQv
2	邀请/建议	AMWA urges you to attend this COVID Clinical Town Hall Expert Panel— Building Vaccine Confidence in Diverse Communi… https://t.co/PTMc3ORJgE
0	引述	A Wartime Economy: Germany Needs to Give Vaccine Production a Shot in the Arm https://t.co/VqGTXRSrog via @derspiegel
0	批评	The vaccines are not safe they require multiple doses and take 3 to 6 months before the damage has occurred in some… https://t.co/bMBLtJqVyJ
0	赞扬	Yep they are indeed simply the best but just watch Wino Johnson trying to take credit now we mustn’t let him get aw… https://t.co/SKjhpfsFMn
0	引述	This Is the Video to Watch:  Infecting W/COVID Swab, the RNA Vaccine, Artificial Intelligence | Alternative | Befor… https://t.co/RFgSuvVGYw
1	希望	god I want it so bad https://t.co/zOlL083t52
0	析因	@matty_zaddy @POTUS Sorry but the government can’t just give money away right away they need to figure out who need… https://t.co/PsnJiwnm8h
0	陈述	Shout out to all my teacher friends and family who got their second dose of the vaccine today and get to go back fo… https://t.co/oZsuE9icnS
0	批评	Crazy has consequences. https://t.co/srnENtyX9Y
0	批评	@DamCou @WinterfellT The EU vaccine fiasco is not improving their attitude towards the UK one bit either.
0	引述	RT @unfoundation: This #BlackHistoryMonth, get to know Dr. Kizzmekia Corbett, a Black female @NIH scientist making… https://t.co/gH5LpSUYez
0	陈述	As the global Covid vaccine rollout commences, experts warn that forms of ‘vaccine nationalism’ could have disastro… https://t.co/qJM5UQ7we7
0	陈述	Recieved my COVID-19 vaccination today 💉 please get the vaccine once it becomes available to you! https://t.co/MKYg7QLCnR
0	陈述	The white capitalists have decided again, to force a hand of the greatest puppet Cyril Ramaphosa to forge ahead wit… https://t.co/NB5Gc3Mhka
1	攻击	Yeah i aint getting injected w/ that shit https://t.co/qrRK0AhZVj
1	欣喜	We’re excited to be on track to administer 17,000 COVID-19 vaccines at clinics in our stores throughout the state o… https://t.co/Py8eUs7wDM
0	陈述	@EssexPR People out everywhere today..\nThe sun was shining and people will not listen about staying home etc if the… https://t.co/JfagfnETOU
2	请求	Playing SG’s songs to calm me while waiting for my 1st dose vaccination
1	欣喜	It’s a great day when you hear your parents got their  #COVIDVaccine ❤️ We’ve missed a lot of hugs but fully intend… https://t.co/zDvszlMlAw
2	请求	@zfrmrza kindly ensure safe quality of vaccine, its more than possible that 1. same vaccine may get black marketed… https://t.co/WpvrsxOVZI
0	陈述	#ICYMI: The City of Allentown is launching a call center to assist city &amp; @CountyofLehigh seniors ages 65+ in regis… https://t.co/cKPpTe0LKU
0	引述	Monroe County vaccine: Nearly 3,000 doses to arrive this week; all but 300 already claimed #ROC #RochesterNY https://t.co/tnLsHDe9IE
2	请求	Let this be a lesson learnt that those with LD’s SHOULD have ALWAYS been a priority to vaccinate. \n\nJo and her fami… https://t.co/c3VLkqCZXf
0	陈述	Pennsylvania's Health Department says some providers mixed up 200,000 first and second doses of the Moderna COVID-1… https://t.co/A1Jwp0n6bT
2	邀请/建议	Let's shape the market. We have the control. \nI bought the following stock for the following reason:\n\n$RNA - All ti… https://t.co/1NUtt0fr7W
0	引述	Spain mulls vaccine passports and testing for resumption of tourism https://t.co/GBlnCDtSKI
1	抱怨	laughs in bartender \nit makes me super anxious and i know i’m putting myself at risk, but without the extra UE bene… https://t.co/Eh4q3qXMRf
0	断定	People really dislike this in Africa, that you think about Africa only because of China https://t.co/fBPVj3b6k4
0	同意	@david_varley @clarewenham @burbagea Yes, Yellow Fever. Had to get the same vaccine.
0	引述	#Covid-19 #vaccine: 130 countries yet to administer a single dose\n\nhttps://t.co/RZMSHd9tm8
0	引述	via @NYTOpinion All of this! For any #covid deniers out there who says it’s just the flu, it’s not that bad, things… https://t.co/JF5z4gyzYr
0	断定	This picture has come to be rather prescient considering the current vaccine farce in the EU. 🤔😒🙄🤦‍♂️ https://t.co/igroDs0wvV
0	断定	@rvh15374957 @shtuiothashuvot @andrew_croxford So what you're saying is, I can't just every vaccine going and achie… https://t.co/LeCp3OjGUE
0	析因	It's flu season and of course covid rates are higher. Think about it 🤔🤔#COVIDVaccine
0	断定	@kazzacoey @charmayne1 @tescgreen @deasy_diane @10DowningStreet 2/  So you see, it does work both ways you're right… https://t.co/dgY7bkwBTw
0	断定	Normally one would expect a public service broadcaster (aka BBC) to share such news.\n\nThe emphasis is on "normally". https://t.co/8ur0JlLAX5
3	承诺	In an hour I’m about to get my first dose of the Covid vaccine (I work in the education field). I’m a little nervou… https://t.co/fvNrrp9qpf
0	陈述	A very important Vaccine Voices from individuals who experience disability; their advice and testimonials on the im… https://t.co/AbSVUNe1Ky
0	陈述	The #COVID19 period has added new strength to our federal structure and the spirit of cooperative federalism: PM Na… https://t.co/wNMpmbIJqU
0	引述	Watch live: Charlie Baker to announce updates to vaccine rollout https://t.co/06TeCkW037 https://t.co/GUUpVB1vi5
0	断定	He can’t put together a plan to vaccinate the citizens let alone sign them up for healthcare. https://t.co/YwrWYrWytA
0	陈述	@FinancialTimes The scientists said vaccine good, effective good, one dose good. It follows that the data will be g… https://t.co/yBBp5S1H0T
0	引述	Second COVID-19 vaccine may affect your body differently https://t.co/Rjl9sP0LeA
2	请求	@SecBlinken explain this to the Americans, Sir. https://t.co/RHKvuhkPra
1	幽默	The Princess of Arizona on today’s show. #TheView https://t.co/h8n7t9GXjB https://t.co/UPnv28nbPy
0	陈述	Ya few countries are buying and India is making donation to some of friendly nations as Diplomatic tactic and givin… https://t.co/XpJ00Kdd33
0	陈述	Woo hoo, vaccine jabbooked for Friday!😁😁😁😁😁😁
0	断定	@TobyTurner @BainzyC Only if you claim it was because of the vaccine.
0	引述	Thief targets 'vulnerable' Covid vaccine patients at Brough surgery https://t.co/f6xYKfjJq5
0	引述	https://t.co/yYWj2w04YP \nWe must continue to wash our hands\n#StayHomeStaySafe #Simulation #Covid19 #Covid… https://t.co/rhLCvmc8HD
0	陈述	@katiecoxmuskoka @JustinTrudeau Vaccine rollout is a provincial accountability. They wanted it. They are still work… https://t.co/dPf27zSFS4
0	陈述	Mommy got her second vaccine shot today. I’m fully vaccinated as of last week.
0	引述	Refusing to vaccinate prisoners is both cruel and dangerous https://t.co/lZK5TdCoiF
0	陈述	@parliamentview @MattHancock Utter BS, Wigton hospital GP site in North Cumbria has had no vaccine this week and on… https://t.co/OKvxdooODb
1	攻击	@menopause_man @boogiedownprod Dumb dumb dumb. #COVIDIOTS
0	赞扬	This is a great idea! https://t.co/Zffbgipgts
0	断定	A lot of proposals are of merit. We cannot devise the roll-out plan when the vaccine gets here.
0	断定	@cuthbert246 @ukmfa1 Side effects from tablets are far different to the side effects people have been having with t… https://t.co/U6HONZnPFR
0	陈述	@4o4esports I just got my first vaccine shot this week .\nI will def make it to this spot in the summer.
0	陈述	- Our World in Data graphic - vaccine doses by population reported vaccine doses administered per 100 people… https://t.co/HOk59TmOvd
0	引述	‼️NEWS POST‼️\n\nCOVID-19 vaccination registration for health and social care workers👨‍⚕👩‍⚕\n\nRead more ➡️ https://t.co/gfZsnJINr1
0	陈述	3 cases of Brazilian variant of this virus now in Ireland.  And now they don't know if vaccine is effective on this… https://t.co/9vHUwwOmbC
0	引述	should have majored in public health\n\n✨ stay up to date on our rapidly accelerating vaccine rollout at… https://t.co/2tjtb6LQqB
0	批评	Government is 2 million short on its vaccine target primarily to do with how poorly thought through vaccination cen… https://t.co/kdHleMrnTo
0	引述	Star Wars: Anthony Daniels' COVID Vaccine Photo Is a Nod to a Classic PSA https://t.co/xzQp14xUY9 via @CBR #StarWars
0	推测	@buildren @IanDunt Possibly. Have a feeling that good news on the vaccine has allowed the more sensible civil serva… https://t.co/8aZev0CICX
0	赞扬	It's the little things like this that keep me going when its non-stop work👍\nProud to be part of the #NHS\n\n#Pharmacy… https://t.co/ufVrQFWEA5
0	赞扬	@shandro Very nice, but Albertans are more concerned about when we can expect more vaccine!?
0	陈述	Got my 2nd Covid vaccine shot today. No dead arm and no flu-like symptoms. Yet. Please baby Jesus, cut me some slac… https://t.co/vlqvKEeAgb
0	批评	The morrison government. Cant run a vaccine rollout. Cant win in court - robodebt, the Biloela family. Cant  shut u… https://t.co/6aoeEe9FVp
0	引述	ETIndustryNews: Recovered COVID-19 patients may need only one shot of mRNA vaccines, say scientists #ETIndustryNews… https://t.co/STco7UMPDi
0	赞扬	@SamadderMayukh @republic It took courage to swallow pride and ask for help (vaccine). Well done… https://t.co/A9UTCpYxIu
0	引述	Suitability of databases in the Asia‐Pacific for collaborative monitoring of vaccine safety https://t.co/KU3mhQiskD
4	other	Lawdy! https://t.co/L31EU5iACx
2	请求	@ShaunMaro @HouseGOP Vaccinate the teachers NOW!!
1	反讽	So it's 98% effective? https://t.co/RklxlcSUP9
0	引述	No jab, no job: why your employer can't sack you for not taking the COVID vaccine in UK \nhttps://t.co/ejEhiUCNMB\nCh… https://t.co/sPhW8BImnv
0	同意	@Manzo_Flagship @MajavuThabiso True, let's stick to our African herbs. The vaccine is unnecessary
0	引述	Opinion | How Texas' winter storm could create a perfect storm for Covid vaccine efforts https://t.co/3nz702ojRv via @msnbc
0	引述	Important Vaccine Message with Barbara Loe Fisher https://t.co/jcbuuOG0cj
0	引述	Breaking News and Information with a strong bias for telling the truth. Censored news and analysis that you won't f… https://t.co/5bAwZkhTj0
0	赞扬	Lots of great, vetted information shared by @ScienceUpFirst. This thread is definitely worth a read. #GetVaccinated… https://t.co/XlqlYwuyCm
1	感谢	@bees_oz Thanks.  Aerosol mitigation until vaccination... only way to fly.
0	断定	Even though when you get the vaccine or not, you still have to breathe.\nEnviroklenz Air System's Plus Traps And Kil… https://t.co/fgEigH0CYr
0	陈述	Teaching this week’s free workshop on vaccine misinformation tomorrow! 12pm EST https://t.co/2dtczY5Ciy
0	引述	2. Last weekend I interviewed @DrMikeRyan &amp; asked him about the unequal way #Covid19 vaccine is currently being dis… https://t.co/o3GtTCk55V
0	质询	"What could go wrong?" says nobody that's ever ordered Chinese food. https://t.co/x236LdhHSr
3	承诺	@Osi_wolf I try and avoid looking, and let them get on with it. I'm sure I'm near the bottom of the list for vaccin… https://t.co/f6FaSx9sXo
0	引述	Listen to A secretive and conflicted federal vaccine task force, a new bill that could see reduced penalties for dr… https://t.co/vVirjNTj7R
0	引述	“I did it more for you than me, safe is where we need to be.  I’ve coped with loss X3 and experienced tragedies. My… https://t.co/BAba7aKOaY
0	陈述	Florida recieves an additional 261,425 doses of the Covid-19 vaccine. This is a 7.7% percent increase in Florida's total doses.
0	同意	@MollyJongFast Well, I’m all for getting the vaccine but at this rate, I’m terrified that I’ll catch covid before I… https://t.co/lawHUGP9FU
0	断定	Vaccine availability will grow exponentially. + Herd immunity. Which is better than the vaccine. (antibodies &gt; vaccine)
0	引述	First Month of COVID-19 Vaccine Safety Monitoring ... \nBe ready when it is your turn.\nhttps://t.co/cmhoErFQ5e via @CDCgov
1	攻击	@JoeConchaTV That is not what he said, jackass. He fumbled on some stats last night, most quickly corrected by the… https://t.co/aSsJ74R8Ln
0	质询	@johnredwood Proving you have had a coronavirus vaccine will make it easier to do things and help unlock the econom… https://t.co/kV6gNgwz1l
0	引述	The AstraZeneca COVID-19 vaccine (and possibly others) are ineffective against the South African variant… https://t.co/PTZM4vZsNu
0	断定	I’m not great at math but I suspect this means I’m not getting my parents a #covidvaccine  today https://t.co/70Fe82MVr7
